Tab Name,Data Visualization,Data Viz Calculation,Data Point,Data Point Calculation,Data Dictionary Table,Data Dictionary Field,DD Data Type,Source Type,Source Data Collection,Source Table,Source Column Name,Source Data Type,,
Denial Management,Total Denied Claims,COUNT(InsuranceClaimID) WHERE Denied AND in ServiceDates,Service Date,,trx_reports,DateOfService,DATE,PMS,Dentrix,fullproclog,createdate,string,,
Denial Management,Total Denied Charges,COUNT(Charges) WHERE Denied AND in ServiceDates,Charges,"(SUM(TrxAmt WHEN TrxType = ""charges"") ",...,,,,,,,,,
Denial Management,Total Denied Charges,COUNT(Charges) WHERE Denied AND in ServiceDates,Denied,COUNT(InsuranceClaimID) WHERE Status  = 'denied',trx_reports,ClaimStatus,ENUM ,PMS,Dentrix,,,,,
Denial Management,Total Denied Charges,COUNT(Charges) WHERE Denied AND in ServiceDates,Service Date,,trx_reports,DateOfService,DATE,PMS,Dentrix,fullproclog,createdate,string,,
Denial Management,Total Denied Charges,COUNT(Charges) WHERE Denied AND in ServiceDates,Transaction Amount,...,trx_reports,TrxAmt,DECIMAL,PMS,Dentrix,fullproclog,amt,string,,
Denial Management,Total Denied Charges,COUNT(Charges) WHERE Denied AND in ServiceDates,Transaction Type,...,trx_reports,TrxType,ENUM ,PMS,Dentrix,fullproclog,proclogclass,string,,
Denial Management,Denial Rate,(SUM(Denied) / COUNT(ClaimID)) x 100 IN Service Dates,Denied,COUNT(InsuranceClaimID) WHERE Status  = 'denied',trx_reports,ClaimStatus,ENUM ,PMS,Dentrix,,,,,
Denial Management,Denial Rate,(SUM(Denied) / COUNT(ClaimID)) x 100 IN Service Dates,Insurance Claim ID,,trx_reports,InsuranceClaimID,VARCHAR,PMS,Dentrix,,,,,
Denial Management,Denial Rate,(SUM(Denied) / COUNT(ClaimID)) x 100 IN Service Dates,Service Date,,trx_reports,DateOfService,DATE,PMS,Dentrix,fullproclog,createdate,string,,
Denial Management,Recovery Rate,(COUNT(ClaimID WHERE Accepted AND DeniedPreviously) / COUNT(ClaimId WHERE Denied)) in Service Dates,Insurance Claim ID,,trx_reports,InsuranceClaimID,VARCHAR,PMS,Dentrix,,,,,
Denial Management,Recovery Rate,(COUNT(ClaimID WHERE Accepted AND DeniedPreviously) / COUNT(ClaimId WHERE Denied)) in Service Dates,Accepted,COUNT(InsuranceClaimID) WHERE Status  = 'accepted',trx_reports,ClaimStatus,ENUM ,PMS,Dentrix,,,,,
Denial Management,Recovery Rate,(COUNT(ClaimID WHERE Accepted AND DeniedPreviously) / COUNT(ClaimId WHERE Denied)) in Service Dates,Denied Previously,,trx_reports,InsuranceClaimSubmissionAttempt,INTEGER,PMS,Dentrix,,,,,
Denial Management,Recovery Rate,(COUNT(ClaimID WHERE Accepted AND DeniedPreviously) / COUNT(ClaimId WHERE Denied)) in Service Dates,Denied,COUNT(InsuranceClaimID) WHERE Status  = 'denied',trx_reports,ClaimStatus,ENUM ,PMS,Dentrix,,,,,
Denial Management,Recovery Rate,(COUNT(ClaimID WHERE Accepted AND DeniedPreviously) / COUNT(ClaimId WHERE Denied)) in Service Dates,Service Date,,trx_reports,DateOfService,DATE,PMS,Dentrix,fullproclog,createdate,string,,
