Product,Tab Name,Data Visualization,Data Viz Calculation,Data Point,Data Point Calculation,Data Dictionary Table,Data Dictionary Field,DD Data Type,Source Type,Source Data Collection,Source Table,Source Column Name,Source Data Type,,
InsightFlow,Denial Management,Top Preventable Denials (Provider),SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc WHERE Provider = '<filter>',Transaction Amount,...,trx_reports,TrxAmt,DECIMAL,PMS,WinOMS,exported_files,amount,string,,
InsightFlow,Denial Management,Top Preventable Denials (Provider),SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc WHERE Provider = '<filter>',Transaction Type,...,trx_reports,TrxType,ENUM ,PMS,WinOMS,exported_files,AccountingType,string,,
InsightFlow,Denial Management,Top Preventable Denials (Location),SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc WHERE Location = '<filter>',Location,,trx_reports,Location,VARCHAR,PMS,WinOMS,exported_files,default office,string,,
InsightFlow,Denial Management,Top Preventable Denials (Location),SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc WHERE Location = '<filter>',Charges,"(SUM(TrxAmt WHEN TrxType = ""charges"") ",...,,,,,,,,,
InsightFlow,Denial Management,Top Preventable Denials (Location),SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc WHERE Location = '<filter>',Denied,COUNT(InsuranceClaimID) WHERE Status  = 'denied',trx_reports,Status,ENUM,PMS,WinOMS,exported_filed,,,,
InsightFlow,Denial Management,Top Preventable Denials (Location),SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc WHERE Location = '<filter>',Service Date,,trx_reports,DateOfService,DATE,PMS,WinOMS,exported_files,service date,string,,
InsightFlow,Denial Management,Top Preventable Denials (Location),SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc WHERE Location = '<filter>',Denial Reason,,,,,,,,,,,
InsightFlow,Denial Management,Top Preventable Denials (Location),SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc WHERE Location = '<filter>',Transaction Amount,...,trx_reports,TrxAmt,DECIMAL,PMS,WinOMS,exported_files,amount,string,,
InsightFlow,Denial Management,Top Preventable Denials (Location),SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc WHERE Location = '<filter>',Transaction Type,...,trx_reports,TrxType,ENUM ,PMS,WinOMS,exported_files,AccountingType,string,,
InsightFlow,Denial Management,Total Denied Claims,COUNT(InsuranceClaimID) WHERE Denied AND in ServiceDates,Insurance Claim ID,,,,,,,,,,,
InsightFlow,Denial Management,Total Denied Claims,COUNT(InsuranceClaimID) WHERE Denied AND in ServiceDates,Denied,COUNT(InsuranceClaimID) WHERE Status  = 'denied',trx_reports,Status,ENUM,PMS,WinOMS,exported_filed,,,,
InsightFlow,Denial Management,Total Denied Claims,COUNT(InsuranceClaimID) WHERE Denied AND in ServiceDates,Service Date,,trx_reports,DateOfService,DATE,PMS,WinOMS,exported_files,service date,string,,
InsightFlow,Denial Management,Total Denied Claims (Practice),COUNT(InsuranceClaimID) WHERE Denied AND in ServiceDates AND Practice = '<filter>',Practice,,trx_reports,POD,VARCHAR,PMS,WinOMS,exported_files,default office,string,,
InsightFlow,Denial Management,Total Denied Claims (Practice),COUNT(InsuranceClaimID) WHERE Denied AND in ServiceDates AND Practice = '<filter>',Insurance Claim ID,,,,,,,,,,,
InsightFlow,Denial Management,Total Denied Claims (Practice),COUNT(InsuranceClaimID) WHERE Denied AND in ServiceDates AND Practice = '<filter>',Denied,COUNT(InsuranceClaimID) WHERE Status  = 'denied',trx_reports,Status,ENUM,PMS,WinOMS,exported_filed,,,,
InsightFlow,Denial Management,Total Denied Claims (Practice),COUNT(InsuranceClaimID) WHERE Denied AND in ServiceDates AND Practice = '<filter>',Service Date,,trx_reports,DateOfService,DATE,PMS,WinOMS,exported_files,service date,string,,
InsightFlow,Denial Management,Total Denied Claims (Provider),COUNT(InsuranceClaimID) WHERE Denied AND in ServiceDates AND Provider = '<filter>',Provider,,trx_reports,Provider,VARCHAR,PMS,WinOMS,exported_files,default provider,string,,
InsightFlow,Denial Management,Total Denied Claims (Provider),COUNT(InsuranceClaimID) WHERE Denied AND in ServiceDates AND Provider = '<filter>',Insurance Claim ID,,,,,,,,,,,
InsightFlow,Denial Management,Total Denied Claims (Provider),COUNT(InsuranceClaimID) WHERE Denied AND in ServiceDates AND Provider = '<filter>',Denied,COUNT(InsuranceClaimID) WHERE Status  = 'denied',trx_reports,Status,ENUM,PMS,WinOMS,exported_filed,,,,
InsightFlow,Denial Management,Total Denied Claims (Provider),COUNT(InsuranceClaimID) WHERE Denied AND in ServiceDates AND Provider = '<filter>',Service Date,,trx_reports,DateOfService,DATE,PMS,WinOMS,exported_files,service date,string,,
InsightFlow,Denial Management,Total Denied Claims (Location),COUNT(InsuranceClaimID) WHERE Denied AND in ServiceDates AND Location = '<filter>',Location,,trx_reports,Location,VARCHAR,PMS,WinOMS,exported_files,default office,string,,
InsightFlow,Denial Management,Total Denied Claims (Location),COUNT(InsuranceClaimID) WHERE Denied AND in ServiceDates AND Location = '<filter>',Insurance Claim ID,,,,,,,,,,,
InsightFlow,Denial Management,Total Denied Claims (Location),COUNT(InsuranceClaimID) WHERE Denied AND in ServiceDates AND Location = '<filter>',Denied,COUNT(InsuranceClaimID) WHERE Status  = 'denied',trx_reports,Status,ENUM,PMS,WinOMS,exported_filed,,,,
InsightFlow,Denial Management,Total Denied Claims (Location),COUNT(InsuranceClaimID) WHERE Denied AND in ServiceDates AND Location = '<filter>',Service Date,,trx_reports,DateOfService,DATE,PMS,WinOMS,exported_files,service date,string,,
InsightFlow,Denial Management,Total Denied Charges,COUNT(Charges) WHERE Denied AND in ServiceDates,Charges,"(SUM(TrxAmt WHEN TrxType = ""charges"") ",...,,,,,,,,,
InsightFlow,Denial Management,Total Denied Charges,COUNT(Charges) WHERE Denied AND in ServiceDates,Denied,COUNT(InsuranceClaimID) WHERE Status  = 'denied',trx_reports,Status,ENUM,PMS,WinOMS,exported_filed,,,,
InsightFlow,Denial Management,Total Denied Charges,COUNT(Charges) WHERE Denied AND in ServiceDates,Service Date,,trx_reports,DateOfService,DATE,PMS,WinOMS,exported_files,service date,string,,
InsightFlow,Denial Management,Total Denied Charges,COUNT(Charges) WHERE Denied AND in ServiceDates,Transaction Amount,...,trx_reports,TrxAmt,DECIMAL,PMS,WinOMS,exported_files,amount,string,,
InsightFlow,Denial Management,Total Denied Charges,COUNT(Charges) WHERE Denied AND in ServiceDates,Transaction Type,...,trx_reports,TrxType,ENUM ,PMS,WinOMS,exported_files,AccountingType,string,,
InsightFlow,Denial Management,Total Denied Charges (Practice),COUNT(Charges) WHERE Denied AND in ServiceDates AND Practice = '<filter>',Practice,,trx_reports,POD,VARCHAR,PMS,WinOMS,exported_files,default office,string,,
InsightFlow,Denial Management,Total Denied Charges (Practice),COUNT(Charges) WHERE Denied AND in ServiceDates AND Practice = '<filter>',Charges,"(SUM(TrxAmt WHEN TrxType = ""charges"") ",...,,,,,,,,,
InsightFlow,Denial Management,Total Denied Charges (Practice),COUNT(Charges) WHERE Denied AND in ServiceDates AND Practice = '<filter>',Denied,COUNT(InsuranceClaimID) WHERE Status  = 'denied',trx_reports,Status,ENUM,PMS,WinOMS,exported_filed,,,,
InsightFlow,Denial Management,Total Denied Charges (Practice),COUNT(Charges) WHERE Denied AND in ServiceDates AND Practice = '<filter>',Service Date,,trx_reports,DateOfService,DATE,PMS,WinOMS,exported_files,service date,string,,
InsightFlow,Denial Management,Total Denied Charges (Practice),COUNT(Charges) WHERE Denied AND in ServiceDates AND Practice = '<filter>',Transaction Amount,...,trx_reports,TrxAmt,DECIMAL,PMS,WinOMS,exported_files,amount,string,,
