Product,Tab Name,Data Visualization,Data Viz Calculation,Data Point,Data Point Calculation,Data Dictionary Table,Data Dictionary Field,DD Data Type,Source Type,Source Data Collection,Source Table,Source Column Name,Source Data Type
DenialIQ,Claim Queue,Submitted Date (UNASSIGNED),,ClaimSubmittedDate,ClaimSubmittedDate,,ClaimSubmittedDate,date,,,,,
DenialIQ,Claim Queue,Charged (UNASSIGNED),,Charge,ChargeAmt,claims,ChargeAmt,"float(10,2)",,,,,
DenialIQ,Claim Queue,Ins. Balance (UNASSIGNED),WHERE PayerType = 'Insurance',Balance,Balance,transactions,Balance,"float(10,2)",,,,,
DenialIQ,Claim Queue,Ins. Balance (UNASSIGNED),,PayerType,PayerType,transactions,PayerType,VARCHAR,,,,,
DenialIQ,Claim Queue,Issue (UNASSIGNED),,Issue,Issue (CARCCode),Claims?,Issue (CARCCode),VARCHAR,,,,,
DenialIQ,Claim Queue,Aging (UNASSIGNED),"DATEDIFF(DAY, GETDATE(), ChargeSubmittedDate)",ChargeSubmittedDate,ChargeSubmittedDate,,ChargeSubmittedDate,date,,,,,
DenialIQ,Claim Queue,Progress (UNASSIGNED),,,Progress,Users,Progress,,,,,,
DenialIQ,AR Specialist Landing Page,Claims in My Queue,COUNT(DISTINCT(InsuranceClaimID)) WHERE 'AssignedTo' = UserName,,InsuranceClaimID,claims,InsuranceClaimID,VARCHAR,,,,,
DenialIQ,AR Specialist Landing Page,Claims in My Queue,COUNT(DISTINCT(InsuranceClaimID)) WHERE 'AssignedTo' = UserName,,AssignedTo,users,AssignedTo,VARCHAR,,,,,
DenialIQ,AR Specialist Landing Page,Urgent Claims,"COUNT(DISTINCT(InsuranceClaimID)) WHERE AssignedTo = UserName AND DATEDIFF(DAY, GETDATE(), ChargeSubmittedDate) > 20 ",,InsuranceClaimID,claims,InsuranceClaimID,VARCHAR,,,,,
DenialIQ,AR Specialist Landing Page,Urgent Claims,"COUNT(DISTINCT(InsuranceClaimID)) WHERE AssignedTo = UserName AND DATEDIFF(DAY, GETDATE(), ChargeSubmittedDate) > 20 ",,AssignedTo,users,AssignedTo,VARCHAR,,,,,
DenialIQ,AR Specialist Landing Page,Urgent Claims,"COUNT(DISTINCT(InsuranceClaimID)) WHERE AssignedTo = UserName AND DATEDIFF(DAY, GETDATE(), ChargeSubmittedDate) > 20 ",ChargeSubmittedDate,ChargeSubmittedDate,Claims,ChargeSubmittedDate,date,,,,,
DenialIQ,AR Specialist Landing Page,Recoverable Revenue,SUM(ClaimBalance) WHERE  AssignedTo = UserID,,Balance,transactions,Balance,"float(10,2)",,,,,
DenialIQ,AR Specialist Landing Page,Recoverable Revenue,SUM(ClaimBalance) WHERE  AssignedTo = UserID,,AssignedTo,Users,AssignedTo,VARCHAR,,,,,
DenialIQ,AR Specialist Landing Page,Current Hours Worked (This week),SUM(HoursWork) WHERE AssignedTo = UserName,,WeekName,Users,WeekName,,,,,,
DenialIQ,AR Specialist Landing Page,Current Hours Worked (This week),SUM(HoursWork) WHERE AssignedTo = UserID,,HoursWorked,Users,HoursWorked,"float(3,2)",,,,,
DenialIQ,AR Specialist Landing Page,Current Hours Worked (This week),SUM(HoursWork) WHERE AssignedTo = UserID,,AssignedTo,Users,AssignedTo,VARCHAR,,,,,
DenialIQ,AR Specialist Landing Page,Average Hours Worked (This week),SUM(HoursWork) / (SUM(HoursWorked) WHERE Year(WeekName) = year),,WeekName,Users,WeekName,,,,,,
DenialIQ,AR Specialist Landing Page,Average Hours Worked (This week),,,HoursWorked,Users,HoursWorked,"float(3,2)",,,,,
DenialIQ,AR Specialist Landing Page,Average Hours Worked (This week),,,AssignedTo,Users,AssignedTo,VARCHAR,,,,,
DenialIQ,AR Specialist Landing Page,Current Claims Completed (This week),,,CurrentWeek,Users,CurrentWeek,,,,,,
DenialIQ,AR Specialist Landing Page,Current Claims Completed (This week),,,InsuranceClaimID,Claims,InsuranceClaimID,VARCHAR,,,,,
DenialIQ,,Current Claims Completed (This week),,,AssignedTo,Users,AssignedTo,VARCHAR,,,,,
DenialIQ,AR Specialist Landing Page,Average Claims Completed (This week),,,CurrentWeek,Users,CurrentWeek,,,,,,
DenialIQ,AR Specialist Landing Page,Average Claims Completed (This week),,,InsuranceClaimID,Claims,InsuranceClaimID,VARCHAR,,,,,
DenialIQ,AR Specialist Landing Page,Average Claims Completed (This week),,,AssignedTo,Users,AssignedTo,VARCHAR,,,,,
DenialIQ,AR Specialist Landing Page,Current Hours Worked (This month),,,Month,Users,Month,date,,,,,
DenialIQ,AR Specialist Landing Page,Current Hours Worked (This month),SUM(HoursWork) WHERE AssignedTo = UserID,,HoursWorked,Users,HoursWorked,"float(3,2)",,,,,
DenialIQ,AR Specialist Landing Page,Current Hours Worked (This month),SUM(HoursWork) WHERE AssignedTo = UserID,,AssignedTo,Users,AssignedTo,VARCHAR,,,,,
DenialIQ,AR Specialist Landing Page,Average Hours Worked (This month),,,Month,Users,Month,date,,,,,
DenialIQ,AR Specialist Landing Page,Average Hours Worked (This month),,,HoursWorked,Users,HoursWorked,"float(3,2)",,,,,
DenialIQ,AR Specialist Landing Page,Average Hours Worked (This month),,,AssignedTo,Users,AssignedTo,VARCHAR,,,,,
DenialIQ,AR Specialist Landing Page,Current Claims Completed (This month),,,Month,Users,Month,date,,,,,
DenialIQ,AR Specialist Landing Page,Current Claims Completed (This month),,,InsuranceClaimID,Claims,InsuranceClaimID,VARCHAR,,,,,
DenialIQ,AR Specialist Landing Page,Current Claims Completed (This month),,,AssignedTo,Users,AssignedTo,VARCHAR,,,,,
DenialIQ,AR Specialist Landing Page,Average Claims Completed (This month),,,Month,Users,Month,date,,,,,
DenialIQ,AR Specialist Landing Page,Average Claims Completed (This month),,,InsuranceClaimID,Claims,InsuranceClaimID,VARCHAR,,,,,
DenialIQ,AR Specialist Landing Page,Average Claims Completed (This month),,,AssignedTo,Users,AssignedTo,VARCHAR,,,,,
DenialIQ,AR Specialist Landing Page,Current Hours Worked (This year),,,Year,Users,Year,date,,,,,
DenialIQ,AR Specialist Landing Page,Current Hours Worked (This year),SUM(HoursWork) WHERE AssignedTo = UserID,,HoursWorked,Users,HoursWorked,"float(3,2)",,,,,
DenialIQ,AR Specialist Landing Page,Current Hours Worked (This year),SUM(HoursWork) WHERE AssignedTo = UserID,,AssignedTo,Users,AssignedTo,VARCHAR,,,,,
DenialIQ,AR Specialist Landing Page,Average Hours Worked (This year),,,Year,Users,Year,date,,,,,
DenialIQ,AR Specialist Landing Page,Average Hours Worked (This year),,,HoursWorked,Users,HoursWorked,"float(3,2)",,,,,
DenialIQ,AR Specialist Landing Page,Average Hours Worked (This year),,,AssignedTo,Users,AssignedTo,VARCHAR,,,,,
DenialIQ,AR Specialist Landing Page,Current Claims Completed (This year),,,Year,Users,Year,date,,,,,
DenialIQ,AR Specialist Landing Page,Current Claims Completed (This year),,,InsuranceClaimID,Claims,InsuranceClaimID,VARCHAR,,,,,
DenialIQ,AR Specialist Landing Page,Current Claims Completed (This year),,,AssignedTo,Users,AssignedTo,VARCHAR,,,,,
DenialIQ,AR Specialist Landing Page,Average Claims Completed (This year),,,Year,Users,Year,date,,,,,
DenialIQ,AR Specialist Landing Page,Average Claims Completed (This year),,,InsuranceClaimID,Claims,InsuranceClaimID,VARCHAR,,,,,
DenialIQ,AR Specialist Landing Page,Average Claims Completed (This year),,,AssignedTo,Claims,AssignedTo,VARCHAR,,,,,
DenialIQ,Manager Landing Page,Charges,"SUM(
              CASE 
                WHEN TrxType IN ('Charge', 'CHARGE', 'CHG') 
                  THEN ISNULL(TrxAmt, 0)
                ELSE 0 
              END
            ) AS TotalCharges  GROUPBY ManagerName",UserID,ManagerName,Users,ManagerName,VARCHAR,,,,,
DenialIQ,Manager Landing Page,Charges,"SUM(
              CASE 
                WHEN TrxType IN ('Charge', 'CHARGE', 'CHG') 
                  THEN ISNULL(TrxAmt, 0)
                ELSE 0 
              END
            ) AS TotalCharges   GROUPBY ManagerName",,TrxType,Transactions,TrxType,VARCHAR,,,,,
DenialIQ,Manager Landing Page,Charges,"SUM(
              CASE 
                WHEN TrxType IN ('Charge', 'CHARGE', 'CHG') 
                  THEN ISNULL(TrxAmt, 0)
                ELSE 0 
              END
            ) AS TotalCharges   GROUPBY ManagerName",,TrxAmt,Transactions,TrxAmt,"float(10,2)",,,,,
DenialIQ,Manager Landing Page,Posted Payments," SUM(
              CASE 
                WHEN TrxType IN ('Payment', 'PAYMENT', 'PMT') 
                  THEN ISNULL(TrxAmt, 0)
                ELSE 0 
              END
            ) AS TotalPostedPayments   GROUPBY ManagerName",UserID,ManagerName,Users,ManagerName,VARCHAR,,,,,
DenialIQ,Manager Landing Page,Posted Payments," SUM(
              CASE 
                WHEN TrxType IN ('Payment', 'PAYMENT', 'PMT') 
                  THEN ISNULL(TrxAmt, 0)
                ELSE 0 
              END
            ) AS TotalPostedPayments   GROUPBY ManagerName",,TrxType,Transactions,TrxType,VARCHAR,,,,,
DenialIQ,Manager Landing Page,Posted Payments," SUM(
              CASE 
                WHEN TrxType IN ('Payment', 'PAYMENT', 'PMT') 
                  THEN ISNULL(TrxAmt, 0)
                ELSE 0 
              END
            ) AS TotalPostedPayments   GROUPBY ManagerName",,TrxAmt,Transactions,TrxAmt,"float(10,2)",,,,,
DenialIQ,Manager Landing Page,Adjustments,"SUM(
              CASE 
                WHEN TrxType IN ('Adjustment', 'ADJUSTMENT', 'ADJ') 
                  THEN ISNULL(TrxAmt, 0)
                ELSE 0 
              END
            ) AS TotalAdjustments  GROUPBY ManagerName",UserID,ManagerName,Users,ManagerName,VARCHAR,,,,,
DenialIQ,Manager Landing Page,Adjustments,"SUM(
              CASE 
                WHEN TrxType IN ('Adjustment', 'ADJUSTMENT', 'ADJ') 
                  THEN ISNULL(TrxAmt, 0)
                ELSE 0 
              END
            ) AS TotalAdjustments  GROUPBY ManagerName",,TrxType,Transactions,TrxType,VARCHAR,,,,,
DenialIQ,Manager Landing Page,Adjustments,"SUM(
              CASE 
                WHEN TrxType IN ('Adjustment', 'ADJUSTMENT', 'ADJ') 
                  THEN ISNULL(TrxAmt, 0)
                ELSE 0 
              END
            ) AS TotalAdjustments  GROUPBY ManagerName",,TrxAmt,Transactions,TrxAmt,"float(10,2)",,,,,
DenialIQ,Manager Landing Page,Net Collections %,"SELECT
          @ReportDate AS ReportDate,
          CAST(TotalCharges        AS decimal(18,2)) AS Charges,
          CAST(TotalPostedPayments AS decimal(18,2)) AS PostedPayments,
          CAST(TotalAdjustments    AS decimal(18,2)) AS Adjustments,
          CASE 
            WHEN (TotalCharges - TotalAdjustments) = 0 THEN NULL
            ELSE CAST(
              100.0 * TotalPostedPayments 
              / (TotalCharges - TotalAdjustments) 
              AS decimal(5,2)
            )
          END AS NetCollectionsPct",UserID,ManagerName,Users,ManagerName,VARCHAR,,,,,
DenialIQ,Manager Landing Page,Net Collections %,"SELECT
          @ReportDate AS ReportDate,
          CAST(TotalCharges        AS decimal(18,2)) AS Charges,
          CAST(TotalPostedPayments AS decimal(18,2)) AS PostedPayments,
          CAST(TotalAdjustments    AS decimal(18,2)) AS Adjustments,
          CASE 
            WHEN (TotalCharges - TotalAdjustments) = 0 THEN NULL
            ELSE CAST(
              100.0 * TotalPostedPayments 
              / (TotalCharges - TotalAdjustments) 
              AS decimal(5,2)
            )
          END AS NetCollectionsPct",,TrxType,Transactions,TrxType,VARCHAR,,,,,
DenialIQ,Manager Landing Page,Net Collections %,"SELECT
          @ReportDate AS ReportDate,
          CAST(TotalCharges        AS decimal(18,2)) AS Charges,
          CAST(TotalPostedPayments AS decimal(18,2)) AS PostedPayments,
          CAST(TotalAdjustments    AS decimal(18,2)) AS Adjustments,
          CASE 
            WHEN (TotalCharges - TotalAdjustments) = 0 THEN NULL
            ELSE CAST(
              100.0 * TotalPostedPayments 
              / (TotalCharges - TotalAdjustments) 
              AS decimal(5,2)
            )
          END AS NetCollectionsPct",,TrxAmt,Transactions,TrxAmt,"float(10,2)",,,,,
DenialIQ,Manager Landing Page,Accounts Receivable,"DECLARE @Today date = CAST(GETDATE() AS date); DECLARE @AsOfDate date = @Today; DECLARE @PriorAsOf date = DATEADD(DAY, -30, @AsOfDate); WITH CurrentAR AS ( SELECT SUM( CASE WHEN TrxType = 'Charge' THEN ISNULL(TrxAmt, 0) WHEN TrxType = 'Payment' THEN -ISNULL(TrxAmt, 0) WHEN TrxType = 'Adjustment' THEN -ISNULL(TrxAmt, 0) ELSE 0 END ) AS TotalAR, SUM( CASE WHEN PayerType = 'Insurance' THEN CASE WHEN TrxType = 'Charge' THEN ISNULL(TrxAmt, 0) WHEN TrxType = 'Payment' THEN -ISNULL(TrxAmt, 0) WHEN TrxType = 'Adjustment' THEN -ISNULL(TrxAmt, 0) ELSE 0 END ELSE 0 END ) AS InsuranceAR, SUM( CASE WHEN PayerType = 'Patient' THEN CASE WHEN TrxType = 'Charge' THEN ISNULL(TrxAmt, 0) WHEN TrxType = 'Payment' THEN -ISNULL(TrxAmt, 0) WHEN TrxType = 'Adjustment' THEN -ISNULL(TrxAmt, 0) ELSE 0 END ELSE 0 END ) AS PatientAR FROM recon_report WHERE DateOfService <= @AsOfDate ), PriorAR AS ( SELECT SUM( CASE WHEN TrxType = 'Charge' THEN ISNULL(TrxAmt, 0) WHEN TrxType = 'Payment' THEN -ISNULL(TrxAmt, 0) WHEN TrxType = 'Adjustment' THEN -ISNULL(TrxAmt, 0) ELSE 0 END ) AS TotalAR30 FROM recon_report WHERE DateOfService <= @PriorAsOf ) SELECT @AsOfDate AS AsOfDate, c.TotalAR, c.InsuranceAR, c.PatientAR, CASE WHEN c.TotalAR = 0 THEN NULL ELSE CAST(100.0 * c.InsuranceAR / c.TotalAR AS decimal(5,2)) END AS InsurancePctOfTotal, CASE WHEN c.TotalAR = 0 THEN NULL ELSE CAST(100.0 * c.PatientAR / c.TotalAR AS decimal(5,2)) END AS PatientPctOfTotal, p.TotalAR30, CASE WHEN p.TotalAR30 IS NULL OR p.TotalAR30 = 0 THEN NULL ELSE CAST(100.0 * (c.TotalAR - p.TotalAR30) / p.TotalAR30 AS decimal(5,2)) END AS PctChangeLast30Days FROM CurrentAR c CROSS JOIN PriorAR p;",UserID,ManagerName,Users,ManagerName,VARCHAR,,,,,
DenialIQ,Manager Landing Page,Accounts Receivable,"DECLARE @Today date = CAST(GETDATE() AS date); DECLARE @AsOfDate date = @Today; DECLARE @PriorAsOf date = DATEADD(DAY, -30, @AsOfDate); WITH CurrentAR AS ( SELECT SUM( CASE WHEN TrxType = 'Charge' THEN ISNULL(TrxAmt, 0) WHEN TrxType = 'Payment' THEN -ISNULL(TrxAmt, 0) WHEN TrxType = 'Adjustment' THEN -ISNULL(TrxAmt, 0) ELSE 0 END ) AS TotalAR, SUM( CASE WHEN PayerType = 'Insurance' THEN CASE WHEN TrxType = 'Charge' THEN ISNULL(TrxAmt, 0) WHEN TrxType = 'Payment' THEN -ISNULL(TrxAmt, 0) WHEN TrxType = 'Adjustment' THEN -ISNULL(TrxAmt, 0) ELSE 0 END ELSE 0 END ) AS InsuranceAR, SUM( CASE WHEN PayerType = 'Patient' THEN CASE WHEN TrxType = 'Charge' THEN ISNULL(TrxAmt, 0) WHEN TrxType = 'Payment' THEN -ISNULL(TrxAmt, 0) WHEN TrxType = 'Adjustment' THEN -ISNULL(TrxAmt, 0) ELSE 0 END ELSE 0 END ) AS PatientAR FROM recon_report WHERE DateOfService <= @AsOfDate ), PriorAR AS ( SELECT SUM( CASE WHEN TrxType = 'Charge' THEN ISNULL(TrxAmt, 0) WHEN TrxType = 'Payment' THEN -ISNULL(TrxAmt, 0) WHEN TrxType = 'Adjustment' THEN -ISNULL(TrxAmt, 0) ELSE 0 END ) AS TotalAR30 FROM recon_report WHERE DateOfService <= @PriorAsOf ) SELECT @AsOfDate AS AsOfDate, c.TotalAR, c.InsuranceAR, c.PatientAR, CASE WHEN c.TotalAR = 0 THEN NULL ELSE CAST(100.0 * c.InsuranceAR / c.TotalAR AS decimal(5,2)) END AS InsurancePctOfTotal, CASE WHEN c.TotalAR = 0 THEN NULL ELSE CAST(100.0 * c.PatientAR / c.TotalAR AS decimal(5,2)) END AS PatientPctOfTotal, p.TotalAR30, CASE WHEN p.TotalAR30 IS NULL OR p.TotalAR30 = 0 THEN NULL ELSE CAST(100.0 * (c.TotalAR - p.TotalAR30) / p.TotalAR30 AS decimal(5,2)) END AS PctChangeLast30Days FROM CurrentAR c CROSS JOIN PriorAR p;",,TrxType,Transactions,TrxType,VARCHAR,,,,,
DenialIQ,Manager Landing Page,Accounts Receivable,"DECLARE @Today date = CAST(GETDATE() AS date); DECLARE @AsOfDate date = @Today; DECLARE @PriorAsOf date = DATEADD(DAY, -30, @AsOfDate); WITH CurrentAR AS ( SELECT SUM( CASE WHEN TrxType = 'Charge' THEN ISNULL(TrxAmt, 0) WHEN TrxType = 'Payment' THEN -ISNULL(TrxAmt, 0) WHEN TrxType = 'Adjustment' THEN -ISNULL(TrxAmt, 0) ELSE 0 END ) AS TotalAR, SUM( CASE WHEN PayerType = 'Insurance' THEN CASE WHEN TrxType = 'Charge' THEN ISNULL(TrxAmt, 0) WHEN TrxType = 'Payment' THEN -ISNULL(TrxAmt, 0) WHEN TrxType = 'Adjustment' THEN -ISNULL(TrxAmt, 0) ELSE 0 END ELSE 0 END ) AS InsuranceAR, SUM( CASE WHEN PayerType = 'Patient' THEN CASE WHEN TrxType = 'Charge' THEN ISNULL(TrxAmt, 0) WHEN TrxType = 'Payment' THEN -ISNULL(TrxAmt, 0) WHEN TrxType = 'Adjustment' THEN -ISNULL(TrxAmt, 0) ELSE 0 END ELSE 0 END ) AS PatientAR FROM recon_report WHERE DateOfService <= @AsOfDate ), PriorAR AS ( SELECT SUM( CASE WHEN TrxType = 'Charge' THEN ISNULL(TrxAmt, 0) WHEN TrxType = 'Payment' THEN -ISNULL(TrxAmt, 0) WHEN TrxType = 'Adjustment' THEN -ISNULL(TrxAmt, 0) ELSE 0 END ) AS TotalAR30 FROM recon_report WHERE DateOfService <= @PriorAsOf ) SELECT @AsOfDate AS AsOfDate, c.TotalAR, c.InsuranceAR, c.PatientAR, CASE WHEN c.TotalAR = 0 THEN NULL ELSE CAST(100.0 * c.InsuranceAR / c.TotalAR AS decimal(5,2)) END AS InsurancePctOfTotal, CASE WHEN c.TotalAR = 0 THEN NULL ELSE CAST(100.0 * c.PatientAR / c.TotalAR AS decimal(5,2)) END AS PatientPctOfTotal, p.TotalAR30, CASE WHEN p.TotalAR30 IS NULL OR p.TotalAR30 = 0 THEN NULL ELSE CAST(100.0 * (c.TotalAR - p.TotalAR30) / p.TotalAR30 AS decimal(5,2)) END AS PctChangeLast30Days FROM CurrentAR c CROSS JOIN PriorAR p;",,TrxAmt,Transactions,TrxAmt,"float(10,2)",,,,,
